INFO 2025-05-16 08:45:26,515 autoreload 14728 11236 Watching for file changes with StatReloader
INFO 2025-05-16 10:12:41,596 basehttp 8732 23788 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 10:12:41,631 basehttp 8732 38504 "GET /obtener-asignaturas-docente/ HTTP/1.1" 200 458
INFO 2025-05-16 10:12:41,763 basehttp 8732 38504 "GET /obtener-asignaturas-docente/ HTTP/1.1" 200 458
INFO 2025-05-16 10:12:50,769 basehttp 8732 40096 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 10:12:50,842 basehttp 8732 23788 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:12:50,895 basehttp 8732 38504 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 10:13:59,871 basehttp 8732 23788 "GET /verificar-sesion/ HTTP/1.1" 200 157
INFO 2025-05-16 10:13:59,884 basehttp 8732 38504 "GET /verificar-sesion/ HTTP/1.1" 200 157
WARNING 2025-05-16 10:14:00,271 log 8732 40096 Forbidden: /limpiar-horarios/
WARNING 2025-05-16 10:14:00,294 basehttp 8732 40096 "POST /limpiar-horarios/ HTTP/1.1" 403 44
INFO 2025-05-16 10:14:00,371 basehttp 8732 23788 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 10:14:00,378 basehttp 8732 38504 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 10:14:00,492 basehttp 8732 31404 "GET /obtener-asignaturas-docente/ HTTP/1.1" 200 458
INFO 2025-05-16 10:14:00,504 basehttp 8732 13684 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 10:14:00,622 basehttp 8732 27100 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 10:14:00,782 basehttp 8732 23788 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 10:14:00,838 basehttp 8732 40096 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:14:00,879 basehttp 8732 38504 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 10:14:01,065 basehttp 8732 27100 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
INFO 2025-05-16 10:14:01,073 basehttp 8732 13684 "GET /periodo-vigente/ HTTP/1.1" 200 102
INFO 2025-05-16 10:14:01,092 basehttp 8732 23788 "GET /obtener-asignaturas-docente/ HTTP/1.1" 200 458
WARNING 2025-05-16 10:14:01,097 log 8732 31404 Forbidden: /limpiar-horarios/
WARNING 2025-05-16 10:14:01,099 basehttp 8732 31404 "POST /limpiar-horarios/ HTTP/1.1" 403 44
INFO 2025-05-16 10:14:01,163 basehttp 8732 40096 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:19:00,934 basehttp 8732 3920 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:24:01,290 basehttp 8732 11072 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:29:02,796 basehttp 8732 36568 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:34:03,743 basehttp 8732 17252 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:39:04,470 basehttp 8732 9752 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:42:02,823 autoreload 8732 18548 C:\Users\Hector\Documents\PROYECTO_TESIS\asesorias-cesmag\backend\backend\settings.py changed, reloading.
